Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
Ainsley,,The Hitchhiker'S Guide To The Galaxy,224,Novel,"After Earth is unexpectedly destroyed, hapless human Arthur Dent teams up with an eccentric alien and embarks on a bizarre, comedic journey through space that satirizes life, the universe, and everything in between.",Douglas Adams,1979,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1000,7.72,7.03,7 to 12,,science fiction,"purpose, human insignificance, friendship","satire, absurdity, sensational, existentialism, human nature, humorous",
Ainsley,,The House In The Cerulean Sea,416,Novel,"Linus Baker, a by-the-book caseworker, is sent to a mysterious orphanage where he discovers the true meaning of family, acceptance, and magic while caring for extraordinary children who challenge his worldview.",TJ Klune,2020,,,Moderately Complex,Slightly Complex,Slightly Complex,Slightly Complex,,620,5.34,5.14,6 to 12,,fantasy fiction,"friendship, acceptance, cruelty vs. kindness","young adult literature, heartwarming, found family, personal growth, belonging",LGBTQ+
Ainsley,,The Martian,387,Novel,"Stranded alone on Mars, astronaut Mark Watney uses his ingenuity and humor to survive against all odds while NASA races to rescue him.",Andy Weir,2011,,,Moderately Complex,Very Complex,Moderately Complex,Very Complex,,680,5.34,5.14,9 to 12,,science fiction,"survival, the impact of technology, resilience","science, resourcefulness, isolation, the importance of human connection, man vs. nature",
Ainsley,,The Mayor Of Casterbridge,256,Novel,"Michael Henchards impulsive decisions and troubled past lead to his rise and tragic fall as the mayor of a small English town, exploring themes of fate, pride, and redemption.",Thomas Hardy,1886,,,Moderately Complex,Very Complex,Very Complex,Very Complex,,1090,8.32,9.67,9 to 12 ,,fiction,"self-destruction, redemption, fate vs. free will","psychological, friendship, pride, British, love, tragedy",
Ainsley,,The Reluctant Fundementalist,208,Novel,"In a tense monologue set in Lahore, a former Pakistani elite named Changez recounts his disillusionment with the American dream after 9/11, revealing a complex journey of identity, loyalty, and alienation.",Mohsin Hamid,2007,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,,,8,9 to 12,,fiction,"facing racism, imperialism, cultural identity","American dream, political, patriotism, psychological, frame narrative, post-9/11",Pakistani/Pakistani American
Ainsley,,The Thing Around Your Neck,300,Short-Story Collection,"In these twelve stories, Chimamanda Ngozi Adichie explores the emotional and cultural tensions faced by Nigerians navigating life between Africa and the United States, illuminating with beauty, sorrow, and emotional wisdom the ties that bind families, lovers, and identities across continents.",Chimamanda Ngozi Adichie,2009,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,,,,9 to 12,,fiction,"colonialism, racism, cultural identity","gender roles, immigration, relationships, political, the American dream",Nigerian/African American
Ainsley,,The Tipping Point: How Little Things Can Make A Big Difference,301,Non-Fiction Book,"Malcolm Gladwell explores how small actions or events can trigger major social change, revealing the people, patterns, and moments that cause ideas, behaviors, and trends to reach a critical tipping point and spread like wildfire.",Malcolm Gladwell,2000,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1160,8.32,9.67,7 to 12 ,,nonfiction,"the butterfly effect, the importance of human connection","psychology, social science, social change, business and economics",
Ainsley,,The Tortilla Curtain,368,Novel,"In Southern California, the lives of a wealthy white couple and an undocumented Mexican couple collide, exposing the deep divides of race, class, privilege, and immigration in contemporary American society.",T. Coraghessan Boyle,1995,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,1210,12.2,12.01,9 to 12 ,,realistic fiction,"immigration, race, class, prejudice","American dream, privilege, social commentary, political, survival, morality",
Ainsley ,,The Trials Of Apollo: The Hidden Oracle,384,Novel,"After being cast down from Olympus, the god Apollo must survive as a powerless teenage mortal named Lester Papadopoulos and complete a dangerous quest to regain his place among the gods.",Rick Riordan,2016,,,Slightly Complex,Slightly Complex,Slightly Complex,Moderately Complex,,680,5.34,5.14,5 to 12,,fantasy fiction,"self-discovery, heroism vs. normalcy, mortality ","coming of age, hero's journey, mythology, friendship, adventure, young adult literature",Greek Mythology
Ainsley,,The Underground Railroad,320,Novel,"Cora, an enslaved woman in the antebellum South, escapes a brutal Georgia plantation and embarks on a harrowing journey to freedom via a literal underground railroad, confronting the violent legacy of slavery at every stop.",Colson Whitehead,2016,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,890,4.51,4.97,7 to 12,,historical fiction,"freedom, survival, facing racism, resilience","history, slavery, mother-daughter relationships, cultural identity, trauma, psychological",African American
Ainsley,,The Yellow Wallpaper,22,Short Story,"Confined to a room as a ""rest cure"" for her postpartum depression, a woman slowly descends into madness, projecting her growing sense of entrapment onto the eerie yellow wallpaper covering the walls.",Charlotte Perkins Gilman,1892,,,Very Complex,Very Complex,Very Complex,Very Complex,,920,7.72,7.03,7 to 12,,realistic fiction,"gender roles, mental health, freedom vs. control ","psychological, gothic, female agency, self-expression, isolation, symbolism",
Ainsley,,Ulysses,783,Novel,"Spanning a single day in Dublin, Ulysses follows Leopold Blooms ordinary yet deeply symbolic journey through the city, mirroring Homers Odyssey while exploring identity, memory, and the stream of human consciousness.",James Joyce,1920,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1050,10.34,7.5,9 to 12 ,,fiction,"alienation, identity, belonging","modern, philosophical, relationships, self-discovery, epic, spirituality, nationalism",Irish
Ainsley,,"Unbroken: A World War Ii Story Of Survival, Resilience, And Redemption",528,Non-Fiction Book,"Louis Zamperini, an Olympic runner turned World War II bombardier, survives a harrowing plane crash, weeks adrift at sea, and brutal Japanese captivity, demonstrating extraordinary resilience and the power of the human spirit.",Laura Hillenbrand,2010,,,Moderately Complex,Very Complex,Very Complex,Moderately Complex,,1010,7.72,7.03,7 to 12,,"nonfiction, biography","survival, resilience, redemption","World War II, the burdens of war, history, inspiring, narrative nonfiction",
Ainsley,,Untamed,352,Memoir,"Glennon Doyle chronicles her transformative journey of self-discovery, shedding societal expectations to embrace her authentic self, including her identity as a queer woman, and inspiring others to live unapologetically.",Glennon Doyle Melton,2020,,,Moderately Complex,Moderately Complex,Slightly Complex,Moderately Complex,,,,,7 to 12,,"nonfiction, memoir","self-discovery, identity, sexuality ","empowerment, social expectations, belonging, relationships, family",LGBTQ+
Ainsley,,Walden,262,Non-Fiction Book,"Thoreau reflects on simple living, nature, and self-reliance during his two-year experiment living alone in a cabin near Walden Pond, exploring themes of solitude, personal freedom, and philosophical insight.",Henry David Thoreau,1854,,,Exceedingly Complex,Exceedingly Complex,Very Complex,Exceedingly Complex,,1300,12.2,12.01,9 to 12,,"nonfiction, memoir","connection to nature, self-reliance, simplicity","philosophical, social commentary, essays, isolation and solitude, transcendentalism ",
Ainsley,,Warriors Don'T Cry,240,Memoir,"Melba Pattillo Beals recounts her courageous experience as one of the Little Rock Nine, bravely integrating Central High School amid violent opposition during the Civil Rights Movement.",Melba Pattillo Beals,1994,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,1000,7.72,7.03,7 to 12,,"nonfiction, memoir","facing racism, overcoming adversity, resilience","autobiography, Civil Rights, activism, history, relationships, community",African American
Ainsley,,Where The Crawdads Sing,384,Novel,"Kya Clark, the Marsh Girl, grows up isolated in the North Carolina marshes and becomes a suspect in a local murder, revealing a story of survival, love, and the deep connection between humans and nature.",Delia Owens,2018,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,880,7.72,7.03,7 to 12,,historical fiction,"isolation and solitude, self-reliance, connection to nature","coming of age, social belonging, love, education, mystery, American South",
Ainsley,,Woman At Point Zero,152,Novel,"Firdaus, a woman on death row in Egypt, recounts her harrowing journey through abuse, exploitation, and self-discovery, culminating in a final act of defiance that challenges societal norms and exposes the systemic oppression of women.",Nawal El Saadawi,1977,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,,,,9 to 12 ,,fiction,"gender roles, power and control, self-worth ","based on true events, political, female agency, religion, justice, violence",Egyptian
,,A Bot Might Have Written This,,Article,"Matthew Vogt writes about the dangers of AI generators' vast parameters, and the effect that they can have on students and professionals who use them.",Matthew Vogt,2023,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,,,,9 to 12,,nonfiction,"AI, authenticity, education","technology, warning, thought-provoking",
,,The New Hybrid Work Is Ai + Humans,,Article,Alexandra Samuel discusses a transformation in workplace culture by examining the impact of AI on employees who work remotely.,Alexandra Samuel,2023,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,,,,9 to 12,,nonfiction,"AI, organizational change, impact of technology","change, innovation, workforce",
